"","Bil.","No..Daftar","No..Lesen","Nama.Pemegang.Lesen","Nama.Premis","Alamat.Premis","Tarikh.Lesen.Dikeluarkan","Tarikh.Kuatkuasa.Lesen","Tarikh.Luput.Lesen","Tarikh.Pembatalan.lesen","Jenis.Perniagaan","latitude","longitude","geo_method"
"88",88,"PA0088/2021",23165,"LEE YAU CHEW","MEGAMAL PHARMACY SDN BHD [MEGAMAL PHARMACY SDN BHD]","1-G,Jalan Lenggong, Vantage Point,11600,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.3966775,100.3155064,"google"
"89",89,"PA0089/2021",23166,"DEREK MOON WENG CHEE","FUJI ACRE SDN. BHD. [CARING PHARMACY ]","LOT 163D-LG-01B,Gurney Paragon Mall, Persiaran Gurney,10250,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.4357127,100.3108976,"google"
"90",90,"PA0090/2021",23167,"OOI CHYN DEE","SRI RAMBAI PHARMACY SDN BHD [SRI RAMBAI PHARMACY SDN BHD]","58,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3545747,100.4454295,"osm"
"91",91,"PA0091/2021",23168,"TENG CHIA CHIA","GR2 Pharmacy Sdn. Bhd. [Green River Pharmacy]","4 (Ground Floor),China Street,10200,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4178403,100.3397443,"google"
"92",92,"PA0092/2021",23169,"THO PUI CHEE","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"93",93,"PA0093/2021",23170,"KHOO SZE LING","WELLINGS PILL HOUSE SDN BHD [GEORGETOWN PHARMACY]","20-1-3A, 05 & 06,Lintang Sungai Ara 7,11900,Bayan Lepas,Barat Daya,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Borong",5.3362933,100.2703807,"google"
"94",94,"PA0094/2021",23171,"CHEN YIN HUAY","Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi]","215,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.315097,100.4429121,"osm"
"95",95,"PA0095/2021",23172,"LIEW YING HOOI","ZUELLIG PHARMA SDN BHD","119A,Jalan Makloom,10150,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","17/03/2021","Borong",5.4057018,100.3183503,"osm"
"96",96,"PA0096/2021",23173,"MOHD RIDZUAN BIN MOHD SHUKRI","PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL]","570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.3685091,100.4414791,"osm"
"97",97,"PA0097/2021",23174,"LEE MAY LAI","GR2 Pharmacy Sdn. Bhd. [Green River Pharmacy]","4 (Ground Floor),China Street,10200,Georgetown,Timur Laut,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","28/04/2021","Borong & Runcit",5.4178403,100.3397443,"google"
"98",98,"PA0098/2021",23175,"LOW SU SYEAN","ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO]","NO 37,Jalan Todak 6 Pusat Komersial Sunway Perdana,13700,Seberang Jaya,Seberang Perai Tengah,Pulau Pinang","26/10/2020","1/1/2021","31/12/2021","","Runcit",5.3948755,100.4001012,"osm"
"99",99,"PA0099/2021",23181,"LIM HOOI SZE","Farmasi ANC Permai [Farmasi ANC Permai]","52,Jalan Kota Permai, Taman Kota Permai,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3415872,100.4566157,"osm"
"100",100,"PA0100/2021",23182,"ADANAN BIN NAYAN","AAA BIOTECH SDN BHD","118,Jalan Star Avenue, Pusat Perniagaan Star Avenue,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.2631632,100.4788386,"osm"
"101",101,"PA0101/2021",23183,"ONG TENG YEN","AM PM PHARMACY SDN BHD","421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4213519,100.3247307,"osm"
"102",102,"PA0102/2021",23184,"TAN SIEW FEN","FARMASI BAGAN SDN BHD","39,Lebuh Kurau 1, Chai Leng Park,13700,Perai,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3843249,100.3913702,"osm"
"103",103,"PA0103/2021",23185,"SITI SHAMSIAH BINTI SAILAN","AMAN PHARMA CARE","15, PUSAT BANDAR BERTAM PERDANA,Jalan Dagangan 10,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.5171868,100.4515084,"google"
"104",104,"PA0104/2021",23186,"KASWINI A/P RAVICHANDRAN","Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi]","2 & 4,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3545747,100.4454295,"osm"
"105",105,"PA0105/2021",23187,"NUR WAHIDHAH BINTI ABDUL KAFOOR","PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL]","570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3685091,100.4414791,"osm"
"106",106,"PA0106/2021",23188,"SOON KHAI-EE","DYNAPHARM (M) SDN BHD","2497, MK 1,Lorong Perusahaan Baru 5, Kawasan Perusahaan Perai 3,13600,Perai,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.364259,100.405788,"google"
"107",107,"PA0107/2021",23189,"KUAN SHEE PEI","K U Pharmacy Sdn Bhd [K U Pharmacy Sdn Bhd]","No. 36 & 38,Lorong Perda Utama 1, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3670409,100.4255089,"google"
"108",108,"PA0108/2021",23190,"WONG EE LIN","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"109",109,"PA0109/2021",23191,"NOORLELAWATI BINTI SALLEH","Farmasi Guar Perahu [Farmasi Guar Perahu]","no.15,Jalan Guar Perahu Indah, Taman Guar Perahu Indah,14400,Kubang Semang,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4261433,100.4680397,"google"
"110",110,"PA0110/2021",23192,"NYO YING HUI","AM PM PHARMACY SDN BHD","421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4213519,100.3247307,"osm"
"111",111,"PA0111/2021",23193,"CHONG VUN HOW","AM PM PHARMACY SDN BHD","421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4213519,100.3247307,"osm"
"112",112,"PA0112/2021",23194,"YEOH KAI RU","WELLINGS PHARMACY SDN BHD [WELLINGS ROCK]","202 & 202A,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4166461,100.3232705,"osm"
"113",113,"PA0113/2021",23195,"KUAN YOU MING","PRIME PHARMACEUTICAL SDN BHD","1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.3367488,100.4365697,"google"
"114",114,"PA0114/2021",23196,"CHAN LIAN THYE","WINWA MEDICAL SDN BHD","1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.3285689,100.4586535,"google"
"115",115,"PA0115/2021",23197,"MUNISWARAN A/L ARICHUNAN","forever pharmacy [farmasi forever]","9,Jalan Pauh Indah 1 , Taman Pauh Indah,13500,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.37599,100.4175234,"google"
"116",116,"PA0116/2021",23198,"LIM LIH WEI","Guardian Health And Beauty Sdn. Bhd. [Guardian Pharmacy]","1-1-17 & 1-1-18 E-GATE,Lebuh Tunku Kudin 2,11700,Gelugor,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.375986,100.3153234,"google"
"117",117,"PA0117/2021",23199,"CHONG CHUN CHYUAN","CHONG PHARMACY SDN. BHD.[FARMASI CHONG]","1198,Jalan Datuk Haji Ahmad Badawi,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","5/3/2021","Runcit",5.5171508,100.4300669,"osm"
"118",118,"PA0118/2021",23201,"CHEW WEI THING","AM PM PHARMACY SDN BHD","421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","11/2/2021","Runcit",5.4213519,100.3247307,"osm"
"119",119,"PA0119/2021",23202,"NG CHUR MEI","MEDS AND VITS PHARMACY [M&V PHARMACY]","G-10, TINGKAT BAWAH, PANGSAPURI OREN 3,Jalan Pantai Bersih,13000,Butterworth,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","28/04/2021","Runcit",5.4441727,100.3817488,"google"
"120",120,"PA0120/2021",23203,"KHOO HUI WEN","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"121",121,"PA0121/2021",23204,"OO PEI JING","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","16/04/2021","Runcit",5.4328019,100.310157,"google"
"122",122,"PA0122/2021",23205,"WONG KIM MOAN","PRIME PHARMACEUTICAL SDN BHD","1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.3367488,100.4365697,"google"
"123",123,"PA0123/2021",23206,"TAN CHAO RAN","SUNNY PHARMACY SDN BHD","NO. 41, GF,,Lorong Bertam Ria 2, Taman Bertam Ria,13200,Bertam,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.5098566,100.4347952,"google"
"124",124,"PA0124/2021",23207,"CHAN WENDY","AM PM PHARMACY SDN BHD","No.15,Jalan Perak,10150,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.4104101,100.3160668,"osm"
"125",125,"PA0125/2021",23208,"LIM HUI NI","Eco pharmacy","6870 ground floor,Jalan Raja Uda,12300,Butterworth,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4331713626236,100.386290502484,"google"
"126",126,"PA0126/2021",23209,"CHAN LIANG AIK","WINWA MEDICAL SDN BHD","1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.3285689,100.4586535,"google"
"127",127,"PA0127/2021",23210,"TANG YAN ZHUANG","Wellings Pill House (TG) Pharmacy Sdn Bhd [Georgetown Pharmacy]","1-F-16 & 16A Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Tanjung Tokong,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4589372,100.3087485,"google"
"128",128,"PA0128/2021",23211,"KIOW SEE HAUR","ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO]","25,Lebuh Chulia,10200,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","24/03/2021","Runcit",5.41563075,100.339115977332,"osm"
"129",129,"PA0129/2021",23212,"KEE HUEY GIM","BIOCARE PHARMACY [FARMASI BIOCARE]","1657-G,Jalan Teluk Air Tawar, Taman Air Tawar Indah,13050,Butterworth,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.492088,100.383873,"google"
"130",130,"PA0130/2021",23213,"TANG ZI JING","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","29/12/2020","Runcit",5.4328019,100.310157,"google"
"131",131,"PA0131/2021",23214,"HENG YUIN KHEE","WELLINGS PHARMACY SDN BHD [WELLINGS ROCK]","202 & 202A,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4166461,100.3232705,"osm"
"132",132,"PA0132/2021",23215,"LEE ZHEN HAN","Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi]","8 & 10,Jalan Bukit Minyak 3, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3292558,100.4446663,"osm"
"133",133,"PA0133/2021",23216,"FOON HWEI FOONG","Lovy Pharmacy Sdn Bhd [Lovy Pharmacy]","5002,Jalan New Ferry,12100,Butterworth,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3993962,100.3743277,"osm"
"134",134,"PA0134/2021",23217,"REBECCA CHWEE CHIEN PUI","PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG]","No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4259549,100.3182699,"osm"
"135",135,"PA0135/2021",23218,"KHO ZHI XIANG","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"136",136,"PA0136/2021",23219,"LIM TZE CHING","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"137",137,"PA0137/2021",23220,"RAM BELAS A/L RAM PATHI","Depco United Sdn. Bhd. [Depco United Sdn. Bhd.]","2433, Mukim 1,Tingkat Perusahaan 6, Kawasan Perusahaan Perai,13600,Perai,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.3493685,100.4144225,"google"
"138",138,"PA0138/2021",23221,"NG WEI WEI","Mega Kulim Pharmacy Sdn. Bhd. [Mega Kulim Farmasi]","34,Jalan Keruing, Kawasan Perniagaan Simpang Ampat,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.278556,100.477122,"osm"
"139",139,"PA0139/2021",23222,"LIM CHUN CHIN","GNC AGRITECH SDN BHD","24,Jalan Industri Cherok Tokun 3, Taman Industri Cherok Tokun Jaya,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.337681,100.485463,"google"
"140",140,"PA0140/2021",23223,"SUNDERAJAN A/L DANARAJAN","WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"141",141,"PA0141/2021",23224,"HANG CHEOK SUA","FARMASI ALMA [FARMASI ALMA]","No.28,Jalan Perniagaan Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3337807,100.4808496,"osm"
"142",142,"PA0142/2021",23225,"CHEN TZE YIN","Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi]","2 & 4,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3545747,100.4454295,"osm"
"143",143,"PA0143/2021",23226,"HUSNAH BINTI ISMAIL","Pharmaniaga Logistics Sdn Bhd","1,3&5,Lorong IKS Juru 8, Taman Perindustrian Ringan Juru,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","27/01/2021","Borong",5.3099014,100.4320799,"google"
"144",144,"PA0144/2021",23227,"NYIOH LIHUI","Pure Pharmacy Sdn Bhd [Pure Pharmacy Sdn Bhd]","1,Jalan Mayang Pasir, Sunshine Square Bayan Baru Supermarket,11950,Bayan Baru,Barat Daya,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3264732,100.2873459,"google"
"145",145,"PA0145/2021",23228,"LEOW KAH LING","Pure Pharmacy Sdn Bhd","139-P,Jalan Tan Sri Teh Ewe Lim,11600,Georgetown,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.3923791,100.3071145,"google"
"146",146,"PA0146/2021",23229,"ONG YEAN KEAT","WINWA MEDICAL SDN BHD","1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.3285689,100.4586535,"google"
"147",147,"PA0147/2021",23230,"KHOR JUU YEEI","MEDISPEC (M) SDN BHD","55 & 57,Lorong Sempadan 2,11400,Air Itam,Timur Laut,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Borong",5.4087248,100.2897562,"osm"
"148",148,"PA0148/2021",23231,"CHUAN KWANG YOUNG","Chuan Pharmacy [Farmasi Chuan]","44,Jalan Bagan 1, Taman Bagan,13400,Butterworth,Seberang Perai Utara,Pulau Pinang","30/10/2020","1/1/2021","31/12/2021","","Runcit",5.4146104,100.3849616,"osm"
"149",149,"PA0149/2021",23232,"TAN BUN CHOW","CHEMIST WAREHOUSE SDN BHD [FARMASI CHEMIST WAREHOUSE]","NO. 16 (GROUND FLOOR),Tingkat Bukit Minyak 9, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.337342,100.4565978,"google"
"150",150,"PA0150/2021",23233,"JACLYN LOW WAI YIN","Wellings Pill House (TG) Pharmacy Sdn. Bhd. [Georgetown Pharmacy]","1-F-16 & 16A, Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Georgetown,Timur Laut,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.4589372,100.3087485,"google"
"151",151,"PA0151/2021",23234,"MAH CHAIN CHAIN","AM PM PHARMACY SDN BHD","No.15,Jalan Perak,10150,Georgetown,Timur Laut,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","7/1/2021","Borong & Runcit",5.4104101,100.3160668,"osm"
"152",152,"PA0152/2021",23235,"LIM WEE CHING","FARMASI BAYAN SDN BHD [FARMASI BAYAN]","484-B,Jalan Bayan Lepas,11900,Bayan Lepas,Barat Daya,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.314497,100.2863614,"osm"
"153",153,"PA0153/2021",23236,"KHOO HUEY MENG","Farmasi Damar Laut [Farmasi Damar Laut]","20H,Desa Jelita, Jalan Permatang Damar Laut,11960,Bayan Lepas,Barat Daya,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.2790573,100.2714729,"google"
"154",154,"PA0154/2021",23237,"CHEW CHIEN HOOI","Stay Fit Pharmacy Sdn. Bhd.","326-R,Jalan Perak,11600,Jelutong,Timur Laut,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.4018671,100.314897,"osm"
"155",155,"PA0155/2021",23238,"TAN BEE LENG","Stay Fit Pharmacy Sdn. Bhd.","326-R,Jalan Perak,11600,Jelutong,Timur Laut,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.4018671,100.314897,"osm"
"156",156,"PA0156/2021",23239,"THAM BOON KUIN","Syarikat Tunas Pantai Sdn Bhd (Pantai Hospital Penang) [Pantai Hospital Penang]","82,Jalan Tengah,11900,Bayan Lepas,Barat Daya,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.32140215,100.282278347789,"osm"
"157",157,"PA0157/2021",23240,"CHEAH BEE CHING","FARMASI BAGAN SDN BHD [FARMASI BAGAN SDN BHD]","21,TINGKAT BAWAH,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","2/11/2020","1/1/2021","31/12/2021","","Runcit",5.36431809981301,100.445689053091,"google"
"158",158,"PA0158/2021",23241,"AANG BEE HOON","FARMASI BERTAM [FARMASI]","NO.3,Lorong Bertam Indah 1, Taman Bertam Indah,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang","3/11/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.5189607,100.4398423,"osm"
"159",159,"PA0159/2021",23242,"KONG PEI PEI","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","3/11/2020","1/1/2021","31/12/2021","21/12/2020","Borong & Runcit",5.4328019,100.310157,"google"
"160",160,"PA0160/2021",23244,"CINDY TAI LEE LING","Mont Ebony Sdn Bhd","1525,Jalan Kelasah, Taman Kelasah,13700,Perai,Seberang Perai Tengah,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Borong",5.3984121,100.4097857,"google"
"161",161,"PA0161/2021",23245,"TAN KIAN MENG","FARMASI SG ARA","98 GROUND FLOOR,Jalan Dato Ismail Hashim,11900,Bayan Lepas,Barat Daya,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.3045307,100.2629692,"google"
"162",162,"PA0162/2021",23246,"NG AI PENG","Farmasi Sejati","No.2846,Jalan Tasek Gelugor, Taman Haji Ahmad Jamil,13300,Tasek Gelugor,Seberang Perai Utara,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.4798591,100.5042045,"google"
"163",163,"PA0163/2021",23247,"CHONG NIAN YU","Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy]","368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.4328019,100.310157,"google"
"164",164,"PA0164/2021",23248,"SERITA LEE HWEI HUEI","WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY ]","NO. 7/9,Marble Arch, Jalan Pasar, Pulau Tikus,10350,Georgetown,Timur Laut,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.4301973,100.3122666,"google"
"165",165,"PA0165/2021",23249,"LOW SING CHOR@LAU SING FAIR","AGRO VET FARMING (M) SDN. BHD.","122 &124,Jalan Khidmat, Taman Budiman,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Borong & Runcit",5.322289,100.4840385,"osm"
"166",166,"PA0166/2021",23250,"LAVANYA A/P BALAKRISHNAN","PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL]","570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.3685091,100.4414791,"osm"
"167",167,"PA0167/2021",23251,"LIM LAY BENG","FARMASI APOLLO [FARMASI APOLLO]","6929,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Utara,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","11/6/2021","Runcit",5.4311371,100.397003,"osm"
"168",168,"PA0168/2021",23252,"OOI CHUNG YANG","Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi]","215,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","4/11/2020","1/1/2021","31/12/2021","","Runcit",5.315097,100.4429121,"osm"
"169",169,"PA0169/2021",23254,"NAZRI BIN NORDIN","Farmasi Nazri Sdn Bhd [Farmasi Nazri Sdn Bhd]","3800,Jalan Sungai Daun, Taman Nibong Indah,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.1721467,100.4775405,"google"
"170",170,"PA0170/2021",23255,"DIU SUET CHING","BAGAN SPECIALIST CENTRE SDN. BHD.","N/A,Jalan Bagan 1,13400,Butterworth,Seberang Perai Utara,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.4146104,100.3849616,"osm"
"171",171,"PA0171/2021",23256,"THIVIYAMALAR A/P TANGGAVELU","PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL]","570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.3685091,100.4414791,"osm"
"172",172,"PA0172/2021",23257,"GOH SIEW MEI","WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY ]","NO. 7/9,Marble Arch, Jalan Pasar, Pulau Tikus,10350,Georgetown,Timur Laut,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.4301973,100.3122666,"google"
"173",173,"PA0173/2021",23258,"MAARISHNI A/P JENARTHAN","Royal Australian Air Force [Butterworth Clinic,Directorate of Defence Clinical Services]","Australian Defence Force, RMAF Base,Jalan Teluk Air Tawar,12990,Butterworth,Seberang Perai Utara,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.4646735,100.3831339,"google"
"174",174,"PA0174/2021",23259,"CHEN ZHUN YIK","ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO]","110-01-01,Persiaran Bayan Indah, Summerton,11900,Bayan Lepas,Barat Daya,Pulau Pinang","9/11/2020","1/1/2021","31/12/2021","","Runcit",5.3389939,100.3087981,"google"
