Bil.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
102,PA0102/2021,23184,TAN SIEW FEN,FARMASI BAGAN SDN BHD,"39,Lebuh Kurau 1, Chai Leng Park,13700,Perai,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
103,PA0103/2021,23185,SITI SHAMSIAH BINTI SAILAN,AMAN PHARMA CARE,"15, PUSAT BANDAR BERTAM PERDANA,Jalan Dagangan 10,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
104,PA0104/2021,23186,KASWINI A/P RAVICHANDRAN,Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi],"2 & 4,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
105,PA0105/2021,23187,NUR WAHIDHAH BINTI ABDUL KAFOOR,PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
106,PA0106/2021,23188,SOON KHAI-EE,DYNAPHARM (M) SDN BHD,"2497, MK 1,Lorong Perusahaan Baru 5, Kawasan Perusahaan Perai 3,13600,Perai,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
107,PA0107/2021,23189,KUAN SHEE PEI,K U Pharmacy Sdn Bhd [K U Pharmacy Sdn Bhd],"No. 36 & 38,Lorong Perda Utama 1, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
108,PA0108/2021,23190,WONG EE LIN,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
109,PA0109/2021,23191,NOORLELAWATI BINTI SALLEH,Farmasi Guar Perahu [Farmasi Guar Perahu],"no.15,Jalan Guar Perahu Indah, Taman Guar Perahu Indah,14400,Kubang Semang,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
110,PA0110/2021,23192,NYO YING HUI,AM PM PHARMACY SDN BHD,"421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
111,PA0111/2021,23193,CHONG VUN HOW,AM PM PHARMACY SDN BHD,"421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
112,PA0112/2021,23194,YEOH KAI RU,WELLINGS PHARMACY SDN BHD [WELLINGS ROCK],"202 & 202A,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
113,PA0113/2021,23195,KUAN YOU MING,PRIME PHARMACEUTICAL SDN BHD,"1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
114,PA0114/2021,23196,CHAN LIAN THYE,WINWA MEDICAL SDN BHD,"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
115,PA0115/2021,23197,MUNISWARAN A/L ARICHUNAN,forever pharmacy [farmasi forever],"9,Jalan Pauh Indah 1 , Taman Pauh Indah,13500,Permatang Pauh,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
116,PA0116/2021,23198,LIM LIH WEI,Guardian Health And Beauty Sdn. Bhd. [Guardian Pharmacy],"1-1-17 & 1-1-18 E-GATE,Lebuh Tunku Kudin 2,11700,Gelugor,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
117,PA0117/2021,23199,CHONG CHUN CHYUAN,CHONG PHARMACY SDN. BHD.[FARMASI CHONG],"1198,Jalan Datuk Haji Ahmad Badawi,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,5/3/2021,Runcit
118,PA0118/2021,23201,CHEW WEI THING,AM PM PHARMACY SDN BHD,"421 & 423,Jalan Burma,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,11/2/2021,Runcit
119,PA0119/2021,23202,NG CHUR MEI,MEDS AND VITS PHARMACY [M&V PHARMACY],"G-10, TINGKAT BAWAH, PANGSAPURI OREN 3,Jalan Pantai Bersih,13000,Butterworth,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,28/04/2021,Runcit
120,PA0120/2021,23203,KHOO HUI WEN,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
121,PA0121/2021,23204,OO PEI JING,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,16/04/2021,Runcit
122,PA0122/2021,23205,WONG KIM MOAN,PRIME PHARMACEUTICAL SDN BHD,"1505,Lorong Perusahaan Utama 1, Kawasan Perindustrian Bukit Tengah,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
123,PA0123/2021,23206,TAN CHAO RAN,SUNNY PHARMACY SDN BHD,"NO. 41, GF,,Lorong Bertam Ria 2, Taman Bertam Ria,13200,Bertam,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
124,PA0124/2021,23207,CHAN WENDY,AM PM PHARMACY SDN BHD,"No.15,Jalan Perak,10150,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
125,PA0125/2021,23208,LIM HUI NI,Eco pharmacy,"6870 ground floor,Jalan Raja Uda,12300,Butterworth,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
126,PA0126/2021,23209,CHAN LIANG AIK,WINWA MEDICAL SDN BHD,"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
127,PA0127/2021,23210,TANG YAN ZHUANG,Wellings Pill House (TG) Pharmacy Sdn Bhd [Georgetown Pharmacy],"1-F-16 & 16A Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Tanjung Tokong,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
128,PA0128/2021,23211,KIOW SEE HAUR,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"25,Lebuh Chulia,10200,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,24/03/2021,Runcit
129,PA0129/2021,23212,KEE HUEY GIM,BIOCARE PHARMACY [FARMASI BIOCARE],"1657-G,Jalan Teluk Air Tawar, Taman Air Tawar Indah,13050,Butterworth,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
130,PA0130/2021,23213,TANG ZI JING,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,29/12/2020,Runcit
131,PA0131/2021,23214,HENG YUIN KHEE,WELLINGS PHARMACY SDN BHD [WELLINGS ROCK],"202 & 202A,Jalan Macalister,10400,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
132,PA0132/2021,23215,LEE ZHEN HAN,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"8 & 10,Jalan Bukit Minyak 3, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
133,PA0133/2021,23216,FOON HWEI FOONG,Lovy Pharmacy Sdn Bhd [Lovy Pharmacy],"5002,Jalan New Ferry,12100,Butterworth,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
134,PA0134/2021,23217,REBECCA CHWEE CHIEN PUI,PULAU PINANG CLINIC SDN. BHD [GLENEAGLES PENANG],"No. 1,Jalan Pangkor,10050,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
135,PA0135/2021,23218,KHO ZHI XIANG,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
136,PA0136/2021,23219,LIM TZE CHING,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
137,PA0137/2021,23220,RAM BELAS A/L RAM PATHI,Depco United Sdn. Bhd. [Depco United Sdn. Bhd.],"2433, Mukim 1,Tingkat Perusahaan 6, Kawasan Perusahaan Perai,13600,Perai,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
138,PA0138/2021,23221,NG WEI WEI,Mega Kulim Pharmacy Sdn. Bhd. [Mega Kulim Farmasi],"34,Jalan Keruing, Kawasan Perniagaan Simpang Ampat,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
139,PA0139/2021,23222,LIM CHUN CHIN,GNC AGRITECH SDN BHD,"24,Jalan Industri Cherok Tokun 3, Taman Industri Cherok Tokun Jaya,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
140,PA0140/2021,23223,SUNDERAJAN A/L DANARAJAN,WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
141,PA0141/2021,23224,HANG CHEOK SUA,FARMASI ALMA [FARMASI ALMA],"No.28,Jalan Perniagaan Pusat Perniagaan Alma,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
142,PA0142/2021,23225,CHEN TZE YIN,Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi],"2 & 4,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
143,PA0143/2021,23226,HUSNAH BINTI ISMAIL,Pharmaniaga Logistics Sdn Bhd,"1,3&5,Lorong IKS Juru 8, Taman Perindustrian Ringan Juru,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,27/01/2021,Borong
144,PA0144/2021,23227,NYIOH LIHUI,Pure Pharmacy Sdn Bhd [Pure Pharmacy Sdn Bhd],"1,Jalan Mayang Pasir, Sunshine Square Bayan Baru Supermarket,11950,Bayan Baru,Barat Daya,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
145,PA0145/2021,23228,LEOW KAH LING,Pure Pharmacy Sdn Bhd,"139-P,Jalan Tan Sri Teh Ewe Lim,11600,Georgetown,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
146,PA0146/2021,23229,ONG YEAN KEAT,WINWA MEDICAL SDN BHD,"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
147,PA0147/2021,23230,KHOR JUU YEEI,MEDISPEC (M) SDN BHD,"55 & 57,Lorong Sempadan 2,11400,Air Itam,Timur Laut,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Borong
148,PA0148/2021,23231,CHUAN KWANG YOUNG,Chuan Pharmacy [Farmasi Chuan],"44,Jalan Bagan 1, Taman Bagan,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",30/10/2020,1/1/2021,31/12/2021,,Runcit
149,PA0149/2021,23232,TAN BUN CHOW,CHEMIST WAREHOUSE SDN BHD [FARMASI CHEMIST WAREHOUSE],"NO. 16 (GROUND FLOOR),Tingkat Bukit Minyak 9, Taman Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
150,PA0150/2021,23233,JACLYN LOW WAI YIN,Wellings Pill House (TG) Pharmacy Sdn. Bhd. [Georgetown Pharmacy],"1-F-16 & 16A, Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Georgetown,Timur Laut,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
151,PA0151/2021,23234,MAH CHAIN CHAIN,AM PM PHARMACY SDN BHD,"No.15,Jalan Perak,10150,Georgetown,Timur Laut,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,7/1/2021,Borong & Runcit
152,PA0152/2021,23235,LIM WEE CHING,FARMASI BAYAN SDN BHD [FARMASI BAYAN],"484-B,Jalan Bayan Lepas,11900,Bayan Lepas,Barat Daya,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
153,PA0153/2021,23236,KHOO HUEY MENG,Farmasi Damar Laut [Farmasi Damar Laut],"20H,Desa Jelita, Jalan Permatang Damar Laut,11960,Bayan Lepas,Barat Daya,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
154,PA0154/2021,23237,CHEW CHIEN HOOI,Stay Fit Pharmacy Sdn. Bhd.,"326-R,Jalan Perak,11600,Jelutong,Timur Laut,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
155,PA0155/2021,23238,TAN BEE LENG,Stay Fit Pharmacy Sdn. Bhd.,"326-R,Jalan Perak,11600,Jelutong,Timur Laut,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
156,PA0156/2021,23239,THAM BOON KUIN,Syarikat Tunas Pantai Sdn Bhd (Pantai Hospital Penang) [Pantai Hospital Penang],"82,Jalan Tengah,11900,Bayan Lepas,Barat Daya,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
157,PA0157/2021,23240,CHEAH BEE CHING,FARMASI BAGAN SDN BHD [FARMASI BAGAN SDN BHD],"21,TINGKAT BAWAH,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",2/11/2020,1/1/2021,31/12/2021,,Runcit
158,PA0158/2021,23241,AANG BEE HOON,FARMASI BERTAM [FARMASI],"NO.3,Lorong Bertam Indah 1, Taman Bertam Indah,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",3/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
159,PA0159/2021,23242,KONG PEI PEI,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",3/11/2020,1/1/2021,31/12/2021,21/12/2020,Borong & Runcit
160,PA0160/2021,23244,CINDY TAI LEE LING,Mont Ebony Sdn Bhd,"1525,Jalan Kelasah, Taman Kelasah,13700,Perai,Seberang Perai Tengah,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Borong
161,PA0161/2021,23245,TAN KIAN MENG,FARMASI SG ARA,"98 GROUND FLOOR,Jalan Dato Ismail Hashim,11900,Bayan Lepas,Barat Daya,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
162,PA0162/2021,23246,NG AI PENG,Farmasi Sejati,"No.2846,Jalan Tasek Gelugor, Taman Haji Ahmad Jamil,13300,Tasek Gelugor,Seberang Perai Utara,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
163,PA0163/2021,23247,CHONG NIAN YU,Wellings Pharmacy Sdn. Bhd. [Wellings Pharmacy],"368-1-12, 12A & 14,Bellisa Row, Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
164,PA0164/2021,23248,SERITA LEE HWEI HUEI,WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY ],"NO. 7/9,Marble Arch, Jalan Pasar, Pulau Tikus,10350,Georgetown,Timur Laut,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
165,PA0165/2021,23249,LOW SING CHOR@LAU SING FAIR,AGRO VET FARMING (M) SDN. BHD.,"122 &124,Jalan Khidmat, Taman Budiman,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
166,PA0166/2021,23250,LAVANYA A/P BALAKRISHNAN,PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
167,PA0167/2021,23251,LIM LAY BENG,FARMASI APOLLO [FARMASI APOLLO],"6929,Jalan Ong Yi How,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,11/6/2021,Runcit
168,PA0168/2021,23252,OOI CHUNG YANG,Mega Kulim Pharmacy Sdn. Bhd. [MegaKulim Farmasi],"215,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",4/11/2020,1/1/2021,31/12/2021,,Runcit
169,PA0169/2021,23254,NAZRI BIN NORDIN,Farmasi Nazri Sdn Bhd [Farmasi Nazri Sdn Bhd],"3800,Jalan Sungai Daun, Taman Nibong Indah,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
170,PA0170/2021,23255,DIU SUET CHING,BAGAN SPECIALIST CENTRE SDN. BHD.,"N/A,Jalan Bagan 1,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
171,PA0171/2021,23256,THIVIYAMALAR A/P TANGGAVELU,PENANG SPECIALIST HOSPITAL [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
172,PA0172/2021,23257,GOH SIEW MEI,WELLINGS PHARMACY SDN BHD [WELLINGS PHARMACY ],"NO. 7/9,Marble Arch, Jalan Pasar, Pulau Tikus,10350,Georgetown,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
173,PA0173/2021,23258,MAARISHNI A/P JENARTHAN,"Royal Australian Air Force [Butterworth Clinic,Directorate of Defence Clinical Services]","Australian Defence Force, RMAF Base,Jalan Teluk Air Tawar,12990,Butterworth,Seberang Perai Utara,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
174,PA0174/2021,23259,CHEN ZHUN YIK,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"110-01-01,Persiaran Bayan Indah, Summerton,11900,Bayan Lepas,Barat Daya,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
175,PA0175/2021,23260,CHAN JEH HUEI,HOLARCHEM SDN. BHD. [HOLARCHEM SDN. BHD.],"78,Jalan Sungai Daun, Taman Nibong Tebal Jaya,14300,Nibong Tebal,Seberang Perai Selatan,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Borong
176,PA0176/2021,23261,KHOO BOO HONG,NEW HEALTH CARE PHARMACY SDN BHD [NEW HEALTH CARE PHARMACY SDN BHD],"1G,Jalan Macalister,11600,Georgetown,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
177,PA0177/2021,23262,WONG WEI JIUN,Natural Healthy Living Sdn. Bhd.,"Wisma GAMA, No.1 (Tingkat Bawah),Jalan Dato Keramat,10150,Georgetown,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
178,PA0178/2021,23264,LIM JOE ANN,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"10,12,Jalan Tembikai, Taman Mutiara,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
179,PA0179/2021,23265,DAVID LIM DE WEI,Mega Kulim Pharmacy Sdn Bhd [Mega Kulim Farmasi],"No 7,,Jalan Usahawan 4, Pusat Perniagaan Kepala Batas,13200,Kepala Batas,Seberang Perai Utara,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
180,PA0180/2021,23266,YIP CHEEN,Lim Seng Pharmachem Sdn Bhd [Lim Seng Pharmachem Sdn Bhd],"2692,Tingkat Perusahaan 6, Kawasan Perusahaan Perai,13600,Perai,Seberang Perai Tengah,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Borong
181,PA0181/2021,23267,HONG SIEW KOON,VA Solution Sdn Bhd [VA Solution Sdn Bhd],"3,Jalan Sungai Tiram 4,11900,Bayan Lepas,Barat Daya,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Borong
182,PA0182/2021,23268,WINNIE TAN SZE HUI,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"5-G-3A, THE PROMENADE,Persiaran Mahsuri, Bandar Bayan Baru,11950,Bayan Lepas,Barat Daya,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
183,PA0183/2021,23269,FONG JIE YING,BAGAN SPECIALIST CENTRE SDN. BHD.,"N/A,Jalan Bagan 1,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
184,PA0184/2021,23270,OOI KIEM BOO,Pure Pharmacy Sdn Bhd,"298, Ground Floor,Jalan Jelutong,11600,Jelutong,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
185,PA0185/2021,23271,FARAH ADILLA BINTI MOHD JASNI,PENANG SPECIALIST HOSPITAL SDN BHD [KPJ PENANG SPECIALIST HOSPITAL],"570,Jalan Perda Utama, Bandar Perda,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
186,PA0186/2021,23272,WONG YENG YENG,THE PILL HOUSE PHARMACY SDN. BHD. [GEORGETOWN PHARMACY],"598-GF-08, MENARA ASAS,Jalan Tanjung Bungah,11200,Tanjong Bungah,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
187,PA0187/2021,23273,NG YEN PING,YENHER AGRO PRODUCTS SDN BHD,"1628,Jalan IKS Simpang Ampat 1, Taman IKS Simpang Ampat,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
188,PA0188/2021,23274,LAW CHUIN YEE,ALPRO ALLIANCE (PENANG) SDN BHD [FARMASI ALPRO],"52A,Lintang Angsana,11500,Air Itam,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Borong & Runcit
189,PA0189/2021,23275,OOI YI ZHI,Wellings Pill House (TG) Pharmacy Sdn. Bhd. [Georgetown Pharmacy],"1-F-16 & 16A, Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Georgetown,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,9/4/2021,Runcit
190,PA0190/2021,23276,ONG HOAY LING,Wellings Pill House (TG) Pharmacy Sdn. Bhd. [Georgetown Pharmacy],"1-F-16 & 16A, Tesco Tanjung Pinang,Jalan Tanjung Tokong,10470,Georgetown,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
191,PA0191/2021,23277,TEOH HOCK GUAN,Guardian Health And Beauty Sdn. Bhd. [Guardian Pharmacy],"1-1-17 & 1-1-18 E-GATE,Lebuh Tunku Kudin 2,11700,Gelugor,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
192,PA0192/2021,23278,WONG YOKE LAY,Healthworld Pharmacy Sdn Bhd [Healthworld Pharmacy Sdn Bhd],"No. 10 (Groundfloor),Jalan Pekaka Satu, Taman Pekaka,11700,Gelugor,Timur Laut,Pulau Pinang",9/11/2020,1/1/2021,31/12/2021,,Runcit
193,PA0193/2021,23279,SYLVIA WONG KING YIENG,Adventist Hospital & Clinic Services (M) [Penang Adventist Hospital],"465,Jalan Burma,10350,Georgetown,Timur Laut,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
194,PA0194/2021,23280,MOHAMMAD HALIM BIN HABIBUR RAHMAN,FARMASI AIR TAWAR SDN BHD [FARMASI AIR TAWAR M-CARE],"4962,Bagan Ajam,13000,Butterworth,Seberang Perai Utara,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
195,PA0195/2021,23281,OOI LIANG SAN,SUNRISE HOMECARE PHARMACY SDN BHD [SUNRISE HOMECARE PHARMACY],"1-1-16 KENARI AVENUE,Tingkat Kenari 5,11900,Bayan Lepas,Barat Daya,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
196,PA0196/2021,23282,TEOH LOO HOANG,Bagan Specialist Centre Sdn Bhd [Bagan Specialist Centre],"N/A,Jalan Bagan 1,13400,Butterworth,Seberang Perai Utara,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
197,PA0197/2021,23283,OOI LAY CHEN,Watson's Personal Care Stores Sdn. Bhd. [Watson],"33-G-50, Ground Floor, Prangin Mall,Jalan Dr.Lim Chwee Leong,10100,Georgetown,Timur Laut,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
198,PA0198/2021,23284,GOH YEW YIK,City Healthcare Pharmacy (BM) Sdn Bhd,"230,Jalan Pasar,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
199,PA0199/2021,23285,ONG JYH KHEONG,WINWA MEDICAL SDN BHD,"1952,Lorong IKS Bukit Minyak 3, Taman IKS Bukit Minyak,14000,Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Borong
200,PA0200/2021,23286,SZE KWONG YEW,Pelangi Vet Pharma Sdn Bhd [Pelangi Vet Pharma Sdn Bhd],"Lot 8,Perda Industrial Park, Lorong IKS Simpang Ampat B,14100,Simpang Ampat,Seberang Perai Selatan,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Borong
201,PA0201/2021,23287,TOH MING JIAN,ECO PHARMACY [ECO PHARMACY],"NO. 6870, GROUND FLOOR,,Jalan Raja Uda,12300,Butterworth,Seberang Perai Tengah,Pulau Pinang",10/11/2020,1/1/2021,31/12/2021,,Runcit
