il.,No. Daftar,No. Lesen,Nama Pemegang Lesen,Nama Premis,Alamat Premis,Tarikh Lesen Dikeluarkan,Tarikh Kuatkuasa Lesen,Tarikh Luput Lesen,Tarikh Pembatalan lesen,Jenis Perniagaan
686,BA0270/2021,18796,JACQUELINE ANG SWEE PING,Smartys Healthcare,"Lot 03-AAB Ground Floor Mezzanine,Persiaran MPAJ Jalan Pandan Utama Pandan Indah,55100,Kuala Lumpur,Kuala Lumpur,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
687,BA0271/2021,18797,NUR IZZATI SYAFIQAH BINTI MOHAMMAD,Ampang Puteri Specialist Hospital Sdn Bhd [Ampang Puteri Specialist Hospital],"1,Jalan Mamanda 9 Taman Dato' Ahmad Razali,68000,Ampang,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
688,BA0272/2021,18798,TAY LEI HOE,Ara Damansara Medical Centre Sdn Bhd,"Lot 2,Jalan Lapangan Terbang Seksyen U2,40150,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
689,BA0273/2021,18799,ALAWIAH BINTI AB RAHMAN,Guardian Health And Beauty Sdn Bhd [Guardian Rx],"Jaya Supermarket Tingkat Bawah,Kompleks PKNS,40000,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
690,BA0274/2021,18800,HOONG CHOI LENG,Tonic Pharma Sdn Bhd [Caring Pharmacy],"LG-03A & LG-05, LG Floor Tropicana City Mall, No.3,Jalan SS 20/27,47400,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
691,BA0275/2021,18801,LEE HUI MIN,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"22A-00-01,Lorong Batu Nilam 4A Bandar Bukit Tinggi,41200,Klang,Klang,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
692,BA0276/2021,18802,TAN ZHI YANG,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"No 31,Jalan SL 1/4 Bandar Sg. Long Cheras,43200,Kajang,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
693,BA0277/2021,18803,TAN KIAN KUANG,Yau Enterprise Sdn Bhd,"1,Jalan PJS 11/18 Bandar Sunway,46150,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
694,BA0278/2021,18804,CHAN WAN LEE,Ziwell Medical Sdn Bhd,"Lot A2-14, PJ Industrial Park,Jalan Kemajuan Seksyen 13,46200,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
695,BA0279/2021,18805,NATALIE CHEW SUAN LI,Servier Malaysia Sdn Bhd,"1301 Level 13 Uptown 2 No 2,Jalan SS 21/37 Damansara Uptown,47400,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
696,BA0280/2021,18806,LEE JIA JIAN,Y.S.P. Industries (M) Sdn Bhd,"Lot 3, 5 & 7,Jalan P/7 Seksyen 13 Kawasan Perindustrian Bandar Baru Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
697,BA0281/2021,18807,BRANDON CHOY MUN KIT,Subang Chemist Sdn Bhd,"10,Jalan PJU 1A/11 Taman Perindustrian Jaya Ara Damansara,47200,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
698,BA0282/2021,18808,EZDIANIFAZLINA BINTI JAMIL,Sungai Pelek Healthcare Enterprise,"71,Jalan Besar Sungai Pelek,43950,Sungai Pelek,Sepang,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
699,BA0283/2021,18809,MOK HUEH MIN,Chemopharm Sdn Bhd,"20,Jalan SS 2/66,47300,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
700,BA0284/2021,18810,CHOW HOONG SENG,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
701,BA0285/2021,18811,LAU YEE VOON,Ace Caring Pharmacy Sdn Bhd [Caring Pharmacy],"17,Jalan USJ 10/1E,47620,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
702,BA0286/2021,18812,ROSNAINI BINTI KAMARUDDIN,FC-Bios Sdn Bhd,"No 31 & 33,Jalan SS 15/4B,47500,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
703,BA0287/2021,18813,TAN LEE LENG,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
704,BA0288/2021,18814,HO TACK SIEN,Advance Pharma Sdn Bhd,"No 28,Jalan BP 6/6 Bandar Bukit Puchong,47120,Puchong,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
705,BA0289/2021,18815,MOHD SAHARUDDIN BIN OTHMAN,Pharmaniaga Manufacturing Berhad,"11A,Jalan P/1 Kawasan Perusahaan Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
706,BA0290/2021,18816,DESMOND TAN GHIM WEI,Thomson Hospitals Sdn Bhd [Thomson Hospital Kota Damansara],"11,Jalan Teknologi Taman Sains Selangor PJU 5 Kota Damansara,47810,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
707,BA0291/2021,18817,GAN CHIA YAN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
708,BA0292/2021,18818,LOO CHUAN YEN,Caring Healthmark Sdn Bhd [Caring Pharmacy],"Lot G-23A, Citta Mall No 1,Jalan PJU 1A/48 Ara Damansara,47301,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
709,BA0293/2021,18819,LIM XIN HUI,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
710,BA0294/2021,18820,LEE HUI KUAN,Daehan Rehabilitation Services Sdn Bhd [Daehan Rehabilitation Hospital Putrajaya],"Block B, Two IOI Square,IOI Resort,62502,Putrajaya,Sepang,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
711,BA0295/2021,18821,TAN AUN SENG,RMS Pharmacy Sdn Bhd,"No 29,Jalan Bandar Rawang 3 Pusat Bandar Rawang,48000,Rawang,Gombak,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
712,BA0296/2021,18822,POR YONG SAI,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 1 Ground Floor,Lebuh Gopeng Off Jalan Goh Hock Huat,41400,Klang,Klang,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
713,BA0297/2021,18823,REENA AGIROSH A/P DAVID,Health Equation Sdn Bhd [AA Pharmacy],"No 18 (Ground Floor & M Floor),Jalan SS 2/67,47300,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,30/07/2021,Runcit
714,BA0298/2021,18824,NG YI CHAN,Caring Pharmacy Sdn Bhd,"Lot EG 9 & 10, Ground Floor, IOI MALL,Bandar Puchong Jaya,47170,Puchong,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,13/08/2021,Runcit
715,BA0299/2021,18825,LEE WIN NIE,Roche (Malaysia) Sdn Bhd,"Level 21 The Pinnacle,Persiaran Lagoon Bandar Sunway,47500,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
716,BA0300/2021,18826,HEU LING PEI,Multicare Health Pharmacy Sdn Bhd [Multicare Pharmacy],"No 31,Jalan SL 1/3 Bandar Sungai Long,43000,Kajang,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,13/03/2021,Runcit
717,BA0301/2021,18827,ONG XIN YU,Caring Pharmacy Retail Management Sdn Bhd [Caring Pharmacy],"Lot LG 62 LG Floor Setia City Mall, No. 7,Persiaran Setia Dagang Setia Alam Seksyen U13,40170,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
718,BA0302/2021,18828,THOO YUEN FAH,Shennong Animal Health (M) Sdn Bhd,"2,4,6,8 & 10,Jalan Industri USJ 1/19, Taman Perindustrian USJ 1,47610,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
719,BA0303/2021,18829,CHAN YIN MEI,Caring Pharmacy (Shah Alam) Sdn Bhd [Caring Pharmacy],"Lot 2A LG Floor Plaza Shah Alam No 2,Jalan Tengku Ampuan Zabedah E 9/E Seksyen 9,40100,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
720,BA0304/2021,18830,WOO HUI YENG,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
721,BA0305/2021,18831,PHUAH HOOI BIEN,My Caring Pharmacy Sdn Bhd [Caring Pharmacy],"Lot G-22, Gamuda Walk, Wisma Biz Gamuda, No.12,Persiaran Anggerik Vanilla 31/99 Kota Kemuning Seksyen 31,40460,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
722,BA0306/2021,18832,CHEAH CUI YI,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
723,BA0307/2021,18833,LAW WOGI JIAN,Jian Hong Pharmacy,"281A,Jalan Besar Sungai Buloh Kampung Baru Sungai Buloh Seksyen U19,40150,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
724,BA0308/2021,18834,TAY SIAN LI,Thomson Hospitals Sdn Bhd [Thomson Hospital Kota Damansara],"11,Jalan Teknologi Taman Sains Selangor PJU 5 Kota Damansara,47810,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,6/5/2021,Borong & Runcit
725,BA0309/2021,18835,TAN SHU JIUAN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
726,BA0310/2021,18836,GOH JING WEI,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
727,BA0311/2021,18837,WONG YOON YOU,Mepharm (Malaysia) Sdn Bhd,"15,Jalan USJ 1/19 Taman Subang Permai,47600,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
728,BA0312/2021,18838,WILLIAM CHEAH WEI LOON,Teraju Pharma Sdn Bhd,"109,Jalan Kenari 23 Bandar Puchong Jaya,47170,Puchong,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Borong
729,BA0313/2021,18839,MOHD ZAHRUL HAFIZ BIN ZULKIPLE,Farmasi Zuli Sdn Bhd [Farmasi Zuli],"210 &212,Jalan Sungai Bertek Teluk Pulai Commercial Centre,41100,Klang,Klang,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
730,BA0314/2021,18840,LIM KAH FUI,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
731,BA0315/2021,18841,MOHD SAIFUL AZRIE BIN ABDUL HAMID,RSD Hospitals Sdn Bhd [Subang Jaya Medical Centre],"No 1,Jalan SS 12/1A,47500,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
732,BA0316/2021,18842,TEE KOON HIEN,Bendito Sdn Bhd [Top Health Farmasi],"29,Jalan Cempaka Harum 1, Taman Cempaka,42700,Banting,Kuala Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
733,BA0317/2021,18843,PATT PEI YEE,RSD Hospitals Sdn Bhd [Subang Jaya Medical Centre],"No 1,Jalan SS 12/1A,47500,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
734,BA0318/2021,18844,MUHAMMAD FAIZUL BIN RAZALI,Caring Trio Sdn Bhd [Caring Pharmacy],"Lot G-61, Tingkat Bawah, Aeon Mall Shah Alam, No. 1,Jalan Akuatik 13/64, Seksyen 13,40100,Shah Alam,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
735,BA0319/2021,18845,LEE HOOI LENG,Metro Jendela Sdn Bhd,"No 2A,Jalan Tandang 51/205A PJ 51 Business Park Seksyen 51,46050,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,31/03/2021,Borong
736,BA0320/2021,18846,LOH CHON FEI,Multicare Pharmacy Sdn Bhd,"Puteri Mart No 1,Lengkok Puteri Utama Bandar Puteri,47100,Puchong,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
737,BA0321/2021,18847,CHENG WEI YEE,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
738,BA0322/2021,18848,CHEN WEI MING,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
739,BA0323/2021,18849,LIM XIAN TING,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
740,BA0324/2021,18850,ONG AI LIN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
741,BA0325/2021,18851,KOI SHE EN,Multicare Health Pharmacy Sdn Bhd [Farmasi Multicare],"No 163A-G,Jalan Dataran Cheras 9 Dataran Perniagaan,43200,Cheras,Hulu Langat,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
742,BA0326/2021,18852,NADIA BINTI ABU BAKAR,RSD Hospitals Sdn Bhd [Subang Jaya Medical Centre],"No 1,Jalan SS 12/1A,47500,Subang Jaya,Petaling,Selangor",25/10/2020,1/1/2021,31/12/2021,,Runcit
743,BA0327/2021,18887,KOK TSE YEEN,Alpha Vet Sdn Bhd,"12,Jalan Industri USJ 1/8, Taman Perindustrian USJ 1,47600,Subang Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
744,BA0328/2021,18858,NESAN KUMAR A/L ASOKUMARAN,Eagle Cliffe (M) Sdn Bhd [Farmasi Kaisar],"Block A-10-1 & 11-1,Jalan PJS 2/16A Taman Maju Jaya,46000,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong & Runcit
745,BA0329/2021,18859,WONG JIA WING,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
746,BA0330/2021,18860,LIONG SIEW ZHEN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
747,BA0331/2021,18861,CHEW MUN YOKE,Health Lane Family Pharmacy Sdn Bhd,"No 11,Jalan 11 Desa Jaya,52100,Kepong,Gombak,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
748,BA0332/2021,18862,NG SIEW FONG,Health Equation Sdn Bhd [AA Pharmacy],"No 18 (Ground Floor & M Floor),Jalan SS 2/67,47300,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
749,BA0333/2021,18863,JONATHAN TAY KONG SENG,Jonhtks Pharmacy Sdn Bhd [Multicare Farmasi],"22G,Jalan Pandan Indah 4/8 Pandan Indah,55100,Kuala Lumpur,Kuala Lumpur,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
750,BA0334/2021,18864,TA SU MAY,DKSH Malaysia Sdn Bhd,"B-11-01 The Ascent Paradigm No.1,Jalan SS 7/26A Kelana Jaya,47301,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong
751,BA0335/2021,18865,LIM CHIN LEONG,First Pharmaceutical Sdn Bhd,"No 20,Jalan SS 19/5,47500,Subang Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong
752,BA0336/2021,18866,CHOE TONG SENG,IMCD Malaysia Sdn Bhd,"B-28-1 The Ascent Paradigm No.1,Jalan SS 7/26A Kelana Jaya,47301,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong
753,BA0337/2021,18867,CHUAH TIEN CHIN,Kajang Healthcare Sdn Bhd [AA PHARMACY],"No 11-G,Jalan Raja Harun,43000,Kajang,Hulu Langat,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
754,BA0338/2021,18868,HENG HUAY CHIN,Health Lane Family Pharmacy Sdn Bhd,"Lot 34, Ground Floor, Tesco Ampang PT8880,Jalan Pandan Prima Dataran Pandan Prima,55100,Ampang,Hulu Langat,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
755,BA0339/2021,18869,MAGDALENE FOO JIA QIN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
756,BA0340/2021,18870,BEH YING KAI,Multicare Health Pharmacy Sdn Bhd [Farmasi Multicare],"Lot PT 3029,Jalan Radin,45400,Sekinchan,Sabak Bernam,Selangor",27/10/2020,1/1/2021,31/12/2021,28/05/2021,Runcit
757,BA0341/2021,18871,JUNE BOO SIEW IM,Health Lane Family Pharmacy Sdn. Bhd. [Health Lane Family Pharmacy],"Lot No G45,Jalan Warisan Sentral 3 Kip Mall Kota Warisan,43900,Sepang,Sepang,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
758,BA0342/2021,18872,SAW CHAI SENG,Progenesis Group Sdn Bhd,"No 32,Jalan TPP 5/2 Taman Perindustrian Puchong,47160,Puchong,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Borong
759,BA0343/2021,18873,BRYAN LEE LEONG YAU,Family Pharmacy Sdn Bhd,"No 6,Lorong Batu Nilam 21B Bandar Bukit Tinggi 2,41200,Klang,Klang,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
760,BA0344/2021,18874,CHONG POH LIN,All Day Pharmacy Sdn Bhd [AllDay Pharmacy],"No 21 Tingkat Bawah,Jalan Rodat 1 Bandar Bukit Raja,41050,Klang,Klang,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
761,BA0345/2021,18875,SITI KHADIJAH ROSE BINTI KAMARBASHRUDIN,Farmasi Al Fatih,"30-1,Jalan TTDI Grove 1/1 Taman TTDI Grove,43000,Kajang,Hulu Langat,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
762,BA0346/2021,18876,ROSALIND LIEW LEE FONG,Behn Meyer Malaysia Sdn Bhd,"No 5,Jalan TP2 Taman Perindustrian Sime UEP,47600,Subang Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,19/01/2021,Borong
763,BA0347/2021,18877,HANIZA BINTI SULAIMAN,ZMN Pharmacy Sdn Bhd,"No 51G,Jalan Bunga Kertas 1E Seksyen BS1 Bukit Sentosa,48300,Rawang,Hulu Selangor,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
764,BA0348/2021,18878,SIAH SIN WEI,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
765,BA0349/2021,18879,LEE WAI KIT,Multicare Health Pharmacy Sdn Bhd [Farmasi Multicare],"No 40G, Block D, Tingkat Bawah,Jalan 18/34 Taman Sri Serdang,43300,Seri Kembangan,Hulu Langat,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
766,BA0350/2021,18953,EDWIN GOH ZHENG LUN,Farmasi Goh Sdn Bhd [Farmasi Alpha.com],"No 19,Jalan Merak 2A Bandar Puchong Jaya,47100,Puchong,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
767,BA0351/2021,18881,CHOW CHING YEI,Mega Caring Sdn Bhd [Caring Pharmacy],"No 45,Jalan Pandan 3/3 Pandan Jaya,55100,Kuala Lumpur,Kuala Lumpur,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
768,BA0352/2021,18882,YAP HUI BEE,Caring Pharmacy Sdn Bhd,"Lot G6 Kompleks Beli Belah AEON Anggun Rawang No 1,Persiaran Anggun,48000,Rawang,Gombak,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
769,BA0353/2021,18883,KRISTY TING MEI LING,Caring Pharmacy Retail Management Sdn Bhd [Caring Pharmacy],"LG18 IOI City Mall,IOI Resort City,62502,Putrajaya,Sepang,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
770,BA0354/2021,18884,TEOH HUI JIUN,Health Equation Sdn Bhd [AA Pharmacy],"No 18 (Ground Floor & M Floor),Jalan SS 2/67,47300,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
771,BA0355/2021,18885,PHANG YEE CHUN,Caring Healthmark Sdn Bhd [Caring Pharmacy],"Lot G-23A, Citta Mall No 1,Jalan PJU 1A/48 Ara Damansara,47301,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
772,BA0356/2021,18886,CHENG BOON PIANG,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",27/10/2020,1/1/2021,31/12/2021,,Runcit
773,BA0357/2021,18892,HENG LIH KHING,First Pharmaceutical Sdn Bhd,"No 20,Jalan SS 19/5,47500,Subang Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
774,BA0358/2021,18893,NG HAN LIN,Twinscare Pharmacy Sdn Bhd [Multicare Pharmacy],"No. 35,Jalan Bandar Rawang 3 Pusat Bandar Rawang,48000,Rawang,Gombak,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
775,BA0359/2021,18894,CHENG WOOI CHIAT,All Day Pharmacy Sdn Bhd [ALLDAY PHARMACY],"No 1 Ground Floor,Lebuh Gopeng Off Jalan Goh Hock Huat,41400,Klang,Klang,Selangor",29/10/2020,1/1/2021,31/12/2021,16/05/2021,Runcit
776,BA0360/2021,18895,CHERYL TAN YOUT WEN,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
777,BA0361/2021,18896,CHEN JENN CIENG,Y.S.P. Industries (M) Sdn Bhd,"Lot 3, 5 & 7,Jalan P/7 Seksyen 13 Kawasan Perindustrian Bandar Baru Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,11/6/2021,Borong
778,BA0362/2021,18897,MOHD FARIK BIN ABDUL RAHMAN,Reefaa Pharmacy Sdn Bhd [Farmasi Reefaa],"No 25G,Jalan SG 3/19 Taman Sri Gombak,68100,Batu Caves,Gombak,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
779,BA0363/2021,18898,CAREEN TAN JIA NING,Sunway Medical Centre Sdn Bhd,"No 5,Jalan Lagoon Selatan Bandar Sunway,47500,Petaling Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
780,BA0364/2021,18899,TEH WEI KIAT,Alphard Pharmacy Sdn Bhd [Alpro Pharmacy],"No 28 Ground Floor,Jalan TPS 1/4 Taman Pelangi Semenyih,43500,Semenyih,Hulu Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
781,BA0365/2021,18900,TAN JIE SIN,LSP Pharmacy Sdn Bhd [Multicare Pharmacy],"37,Jalan PU 7/4 Pusat Bandar Puchong Utama,47100,Puchong,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
782,BA0366/2021,18901,THIRUNAHAIKARASU A/L SINNAYA,Zulat Pharmacy Sdn Bhd,"No 23 & 23A,Jalan Bandar 3 Taman Melawati,53100,Kuala Lumpur,Kuala Lumpur,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
783,BA0367/2021,18902,SAMUEL CHING LEE YUEN,Multicare (Banting) Pharmacy Sdn Bhd [Multicare Pharmacy],"No 3 Blok D,Jalan Cemerlang 4, Pusat Perdagangan Banting,42700,Banting,Kuala Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
784,BA0368/2021,18903,CHAN BEOW SWAN,Health Lane Family Pharmacy Sdn Bhd [Health Lane Family Pharmacy],"01-13 & 01-13A, Sanctuary Mall,Jalan Eco Sanctuary 8/3 Eco Sanctuary,42500,Telok Panglima Garang,Kuala Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
785,BA0369/2021,18904,LOW MIN RAN,SPG Pharma (Malaysia) Sdn Bhd,"Suite 1701 Level 17 Block A Damansara Intan E-Business Park No 1,Jalan SS 20/27,47400,Petaling Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
786,BA0370/2021,18905,ONG PANG TOON,Y.S.P. Industries (M) Sdn Bhd,"Lot 3, 5 & 7,Jalan P/7 Seksyen 13 Kawasan Perindustrian Bandar Baru Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
787,BA0371/2021,18954,WONG KAR MEN,DKSH Malaysia Sdn Bhd,"B-11-01 The Ascent Paradigm No.1,Jalan SS 7/26A Kelana Jaya,47301,Petaling Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
788,BA0372/2021,18907,WANG LIANG KEAT,Y.S.P. Industries (M) Sdn Bhd,"Lot 3, 5 & 7,Jalan P/7 Seksyen 13 Kawasan Perindustrian Bandar Baru Bangi,43650,Bandar Baru Bangi,Hulu Langat,Selangor",29/10/2020,1/1/2021,31/12/2021,,Borong
789,BA0373/2021,18908,VOON CHEE HING,Guardian Health and Beauty Sdn Bhd [Guardian Pharmacy],"SATP C03 Passenger Level,Satelite Building,64000,Sepang Klia,Sepang,Selangor",29/10/2020,1/1/2021,31/12/2021,18/11/2020,Runcit
790,BA0374/2021,18909,LEE BEE HUI,Caring Pharmacy Sdn Bhd [Caring Pharmacy],"F-G-03A Ground Floor Glomac Squares,Jalan SS 6/5B,47301,Petaling Jaya,Petaling,Selangor",29/10/2020,1/1/2021,31/12/2021,,Runcit
